Mes;Vazao
abr/1956;174
mai/1956;127
jun/1956;198
jul/1956;980
ago/1956;2272
set/1956;4807
out/1956;4561
nov/1956;1733
dez/1956;769
jan/1957;394
fev/1957;186
mar/1957;108
abr/1957;56
mai/1957;67
jun/1957;315
jul/1957;1278
ago/1957;3674
set/1957;6237
out/1957;6678
nov/1957;3411
dez/1957;1192
jan/1958;613
fev/1958;360
mar/1958;160
abr/1958;133
mai/1958;257
jun/1958;785
jul/1958;1411
ago/1958;2092
set/1958;4305
out/1958;4263
nov/1958;2132
dez/1958;1326
jan/1959;598
fev/1959;317
mar/1959;168
abr/1959;78
mai/1959;92
jun/1959;311
jul/1959;1345
ago/1959;2895
set/1959;5556
out/1959;4328
nov/1959;1770
dez/1959;740
jan/1960;353
fev/1960;178
mar/1960;82
abr/1960;56
mai/1960;80
jun/1960;290
jul/1960;1354
ago/1960;3637
set/1960;5789
out/1960;4748
nov/1960;2122
dez/1960;819
jan/1961;357
fev/1961;170
mar/1961;76
abr/1961;30
mai/1961;67
jun/1961;93
jul/1961;924
ago/1961;2877
set/1961;5256
out/1961;3208
nov/1961;1239
dez/1961;478
jan/1962;204
fev/1962;89
mar/1962;37
abr/1962;20
mai/1962;115
jun/1962;202
jul/1962;1068
ago/1962;3203
set/1962;6943
out/1962;5895
nov/1962;2691
dez/1962;1132
jan/1963;484
fev/1963;259
mar/1963;170
abr/1963;65
mai/1963;129
jun/1963;130
jul/1963;632
ago/1963;2351
set/1963;4706
out/1963;5686
nov/1963;2691
dez/1963;842
jan/1964;467
fev/1964;166
mar/1964;69
abr/1964;37
mai/1964;36
jun/1964;397
jul/1964;1150
ago/1964;3574
set/1964;5277
out/1964;4960
nov/1964;1744
dez/1964;890
jan/1965;495
fev/1965;242
mar/1965;138
abr/1965;88
mai/1965;83
jun/1965;356
jul/1965;1742
ago/1965;2651
set/1965;4643
out/1965;4453
nov/1965;1846
dez/1965;639
jan/1966;283
fev/1966;169
mar/1966;95
abr/1966;76
mai/1966;70
jun/1966;180
