Mes;Vazao
1/1/1949;47360,00
1/2/1949;34629,64
1/3/1949;31914,52
1/4/1949;33971,00
1/5/1949;32797,10
1/6/1949;29354,00
1/7/1949;29083,23
1/8/1949;32868,71
1/9/1949;38139,67
1/10/1949;46990,97
1/11/1949;53957,67
1/12/1949;51024,84
1/1/1950;39855,48
1/2/1950;33765,71
1/3/1950;31245,81
1/4/1950;37409,33
1/5/1950;36814,52
1/6/1950;32499,33
1/7/1950;29480,32
1/8/1950;32831,61
1/9/1950;38270,33
1/10/1950;45714,84
1/11/1950;56942,67
1/12/1950;56151,61
1/1/1951;44720,64
1/2/1951;36500,00
1/3/1951;34040,32
1/4/1951;41696,33
1/5/1951;37727,10
1/6/1951;34168,67
1/7/1951;31644,84
1/8/1951;28154,19
1/9/1951;34238,67
1/10/1951;39310,64
1/11/1951;53841,67
1/12/1951;62777,42
1/1/1952;55016,77
1/2/1952;38157,93
1/3/1952;32995,80
1/4/1952;33900,33
1/5/1952;39345,80
1/6/1952;38651,67
1/7/1952;32248,71
1/8/1952;31901,29
1/9/1952;37050,00
1/10/1952;43151,61
1/11/1952;51014,67
1/12/1952;51517,74
1/1/1953;42747,74
1/2/1953;34916,79
1/3/1953;34228,07
1/4/1953;35758,00
1/5/1953;36902,58
1/6/1953;33797,33
1/7/1953;28844,19
1/8/1953;25845,16
1/9/1953;31908,00
1/10/1953;37539,36
1/11/1953;45252,67
1/12/1953;49366,77
1/1/1954;36915,80
1/2/1954;29160,71
1/3/1954;31780,97
1/4/1954;36465,00
1/5/1954;39278,07
1/6/1954;35862,00
1/7/1954;31825,81
1/8/1954;27693,55
1/9/1954;33616,00
1/10/1954;40558,07
1/11/1954;50184,33
1/12/1954;51453,87
1/1/1955;46755,16
1/2/1955;41587,86
1/3/1955;37677,74
1/4/1955;41341,00
1/5/1955;45350,97
1/6/1955;39187,00
1/7/1955;32217,42
1/8/1955;32568,06
1/9/1955;37435,00
1/10/1955;47744,20
1/11/1955;59469,33
1/12/1955;60792,58
1/1/1956;48931,29
1/2/1956;38303,79
1/3/1956;34460,64
1/4/1956;38847,00
1/5/1956;46619,03
1/6/1956;41843,33
1/7/1956;34749,36
1/8/1956;30488,39
1/9/1956;35443,67
1/10/1956;42630,64
1/11/1956;50385,33
1/12/1956;55488,71
1/1/1957;49773,23
1/2/1957;37530,71
1/3/1957;36148,39
1/4/1957;44044,67
1/5/1957;44231,93
1/6/1957;40838,67
1/7/1957;35117,74
1/8/1957;32840,64
1/9/1957;35381,33
1/10/1957;39481,93
1/11/1957;48282,67
1/12/1957;54521,61
1/1/1958;50869,68
1/2/1958;37776,43
1/3/1958;29820,00
1/4/1958;29964,00
1/5/1958;34105,48
