MES;VAZAO
jun-1979;27,66
jul-1979;26
ago-1979;22,05
set-1979;30,15
out-1979;23,37
nov-1979;54,41
dez-1979;62,01
jan-1980;109,63
fev-1980;69,48
mar-1980;32,44
abr-1980;45,16
mai-1980;24,12
jun-1980;19,28
jul-1980;17,83
ago-1980;16,77
set-1980;15,7
out-1980;25,75
nov-1980;33,2
dez-1980;88,82
jan-1981;107,19
fev-1981;57,09
mar-1981;50,05
abr-1981;51,83
mai-1981;33,56
jun-1981;19,57
jul-1981;19,18
ago-1981;13,58
set-1981;10,5
out-1981;20,06
nov-1981;49,92
dez-1981;126,35
jan-1982;127,47
fev-1982;59,71
mar-1982;122,93
abr-1982;90,74
mai-1982;42,69
jun-1982;31,01
jul-1982;25,63
ago-1982;29,18
set-1982;21,77
out-1982;35,71
nov-1982;29,47
dez-1982;77,91
jan-1983;112,97
fev-1983;64,82
mar-1983;140,03
abr-1983;78,22
mai-1983;54,05
jun-1983;81,25
jul-1983;38,95
ago-1983;28,67
set-1983;76,67
out-1983;61,38
nov-1983;63,67
dez-1983;68,64
jan-1984;54,97
fev-1984;54,84
mar-1984;41,82
abr-1984;40,14
mai-1984;29,31
jun-1984;19,41
jul-1984;15,55
ago-1984;19,31
set-1984;16,84
out-1984;17,31
nov-1984;24,18
dez-1984;33,94
jan-1985;103,11
fev-1985;81,67
mar-1985;77,53
abr-1985;49,6
mai-1985;33,24
jun-1985;23,71
jul-1985;18,98
ago-1985;16
set-1985;18,52
out-1985;17,61
nov-1985;35,63
dez-1985;65,44
jan-1986;68,51
fev-1986;49,95
mar-1986;45,78
abr-1986;34,56
mai-1986;24,25
jun-1986;18,34
jul-1986;20,09
ago-1986;17,47
set-1986;18,37
out-1986;15,25
nov-1986;17,51
dez-1986;62,65
jan-1987;66,37
fev-1987;50,24
mar-1987;62,36
abr-1987;48,61
mai-1987;34,45
jun-1987;27,22
jul-1987;16,89
ago-1987;16,49
set-1987;15,23
out-1987;8,62
nov-1987;20,52
dez-1987;83,71
jan-1988;49,33
fev-1988;140,16
mar-1988;59,8
abr-1988;51,74
mai-1988;49,41
jun-1988;31,89
jul-1988;23,83
ago-1988;16,45
set-1988;12,79
out-1988;22,87
nov-1988;44,06
dez-1988;49,82
jan-1989;53,52
fev-1989;57,85
mar-1989;62,39
abr-1989;38,32
mai-1989;27,53
jun-1989;28,9
jul-1989;23,88
ago-1989;15,22
set-1989;19,69
out-1989;17,22
nov-1989;18,9
dez-1989;37,23
jan-1990;29,75
fev-1990;23,42
mar-1990;31,41
abr-1990;38,82
mai-1990;27,72
jun-1990;12,23
jul-1990;14,91
ago-1990;12,49
set-1990;20,6
out-1990;18,79
nov-1990;25,17
dez-1990;22,21
jan-1991;107,27
fev-1991;60,35
mar-1991;54,24
abr-1991;46,13
mai-1991;31,66
jun-1991;21,21
jul-1991;17,15
ago-1991;8,83
set-1991;15,66
out-1991;23,13
nov-1991;19,28
dez-1991;46,69
jan-1992;138,19
fev-1992;66,85
mar-1992;38,2
abr-1992;29,6
mai-1992;20,49
jun-1992;11,32
jul-1992;12,06
ago-1992;7,49
set-1992;23,47
out-1992;27,44
nov-1992;48,83
dez-1992;52,45
jan-1993;37,12
fev-1993;29,2
mar-1993;38,39
abr-1993;28,93
mai-1993;16,99
jun-1993;16,71
jul-1993;9
ago-1993;7
set-1993;12,32
out-1993;11,89
nov-1993;12,97
dez-1993;32,09
jan-1994;56,17
fev-1994;21,92
mar-1994;84,56
abr-1994;58,44
mai-1994;60,3
jun-1994;32,04
jul-1994;23,75
ago-1994;15,96
set-1994;8,79
out-1994;9,78
nov-1994;28
dez-1994;51,59
jan-1995;44,67
fev-1995;54,27
mar-1995;21,73
abr-1995;21,56
mai-1995;13,76
jun-1995;9,75
jul-1995;8,08
ago-1995;6,07
set-1995;13,59
out-1995;29,08
nov-1995;40,58
dez-1995;52,17
jan-1996;61,89
fev-1996;42,19
mar-1996;47,19
abr-1996;27,13
mai-1996;16,76
jun-1996;13,65
jul-1996;9,43
ago-1996;8,85
set-1996;32,97
out-1996;18,04
nov-1996;73,48
dez-1996;67,65
jan-1997;107,74
fev-1997;56,92
mar-1997;61,25
abr-1997;32,61
mai-1997;21,25
jun-1997;20,17
jul-1997;13,33
ago-1997;10,17
set-1997;9,86
out-1997;12,42
nov-1997;25,19
dez-1997;36,33
jan-1998;36,62
fev-1998;56,46
mar-1998;35,54
abr-1998;32,4
mai-1998;22,25
jun-1998;16,81
jul-1998;11,53
ago-1998;8,98
set-1998;8,9
out-1998;27,57
nov-1998;44,36
dez-1998;45,6
jan-1999;62,66
fev-1999;43,63
mar-1999;41,74
abr-1999;22,66
mai-1999;14,75
jun-1999;11,53
jul-1999;8,83
ago-1999;8,64
set-1999;8,2
out-1999;8,46
nov-1999;25,42
dez-1999;55,73
jan-2000;106,06
fev-2000;47,28
mar-2000;46,06
abr-2000;36,26
mai-2000;18,83
jun-2000;13,57
jul-2000;11,26
ago-2000;14,11
set-2000;22,82
out-2000;13,9
nov-2000;19,38
dez-2000;50,49
jan-2001;70,58
fev-2001;36,04
mar-2001;44,38
abr-2001;25,96
mai-2001;24,67
jun-2001;13,26
jul-2001;10,38
ago-2001;9,58
set-2001;16,06
out-2001;15,57
nov-2001;29,03
dez-2001;67,5
jan-2002;71,6
fev-2002;63,87
mar-2002;35,05
abr-2002;19,34
mai-2002;21,04
jun-2002;9,98
jul-2002;12,78
ago-2002;7,45
set-2002;12,55
out-2002;8,63
nov-2002;32,55
dez-2002;125,22
jan-2003;106,73
fev-2003;40,86
mar-2003;31,75
abr-2003;22,49
mai-2003;19,71
jun-2003;10,91
jul-2003;10,05
ago-2003;9,62
set-2003;9,42
out-2003;18,77
nov-2003;52,35
dez-2003;50,76
jan-2004;75,95
fev-2004;123,05
mar-2004;63,72
abr-2004;48,64
mai-2004;22,13
jun-2004;14,83
jul-2004;23,59
ago-2004;9,97
set-2004;11,49
out-2004;21,2
nov-2004;38,98
dez-2004;92,4
jan-2005;86,87
fev-2005;104,42
mar-2005;87,38
abr-2005;54,05
mai-2005;34,66
jun-2005;27,11
jul-2005;17,88
ago-2005;14,69
set-2005;15,52
out-2005;13,05
nov-2005;34,61
dez-2005;81,23
jan-2006;35,83
fev-2006;52,55
mar-2006;55,78
abr-2006;40,01
mai-2006;17,67
jun-2006;11,42
jul-2006;9,17
ago-2006;11,74
set-2006;9,27
out-2006;14,28
nov-2006;44,82
dez-2006;70,43
jan-2007;193,74
fev-2007;80,15
mar-2007;43,95
abr-2007;40,17
mai-2007;34,83
jun-2007;25,13
jul-2007;16,48
ago-2007;15,3
set-2007;12,32
out-2007;15,07
nov-2007;33,86
dez-2007;53,13
jan-2008;52,54
fev-2008;88,34
mar-2008;76,57
abr-2008;61,97
mai-2008;37,18
jun-2008;28,12
jul-2008;18,96
ago-2008;18
set-2008;17,83
out-2008;24,29
nov-2008;60,84
dez-2008;76,54
jan-2009;99,5
fev-2009;86,34
mar-2009;46,88
abr-2009;41,3
mai-2009;30,33
jun-2009;25,49
jul-2009;22,9
ago-2009;19,87
set-2009;21,18
out-2009;47,35
nov-2009;80,43
dez-2009;105,82
jan-2010;80,03
fev-2010;47,26
mar-2010;85,5
abr-2010;72,56
mai-2010;39,5
jun-2010;31,88
jul-2010;27,38
ago-2010;19,29
set-2010;16,98
out-2010;25,92
nov-2010;55,13
dez-2010;96,84
jan-2011;106,28
fev-2011;64,42
mar-2011;90,42
abr-2011;61,89
mai-2011;45,43
jun-2011;38,96
jul-2011;34,46
ago-2011;31,33
set-2011;22,86
out-2011;40,18
nov-2011;52,29
dez-2011;97,89
jan-2012;127,78
fev-2012;73,11
mar-2012;66,3
abr-2012;55,6
mai-2012;49,07
jun-2012;43,35
jul-2012;37,81
ago-2012;28,02
set-2012;32,56
out-2012;29,69
nov-2012;46,21
dez-2012;43,17
jan-2013;74,08
fev-2013;65,94
mar-2013;86,8
abr-2013;54,4
mai-2013;41,45
jun-2013;38,09
jul-2013;38,73
ago-2013;29,88
set-2013;31,01
out-2013;35,15
nov-2013;43
dez-2013;70,23
jan-2014;38,75
fev-2014;27,65
mar-2014;39,49
abr-2014;44,67
mai-2014;29,7
jun-2014;30,3
jul-2014;26,84
ago-2014;22,87
set-2014;21,69
out-2014;21,75
nov-2014;29,48
dez-2014;31,19

